lib_mrq,lib_mod_doss,lib_mod,dscom,cod_cbr,hybride,puiss_admin_98,puiss_max,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,nox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,Carrosserie,gamme,Mp,Ct,W (mm),At1 (mm),At2 (mm),ec (cm3),typ_boite,nb_rapp,category
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S,GO,non,5,77.0,5.5,3.700000048,4.400000095,114.0,0.215000004,0.172999993,0.001,1385,1385,715/2007*195/2013EURO5,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1598.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S,GO,non,5,77.0,5.5,3.700000048,4.400000095,114.0,0.215000004,0.172999993,0.001,1385,1385,715/2007*195/2013EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1598.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1750 Tbi (235ch) Quadrifoglio Verde,ES,non,14,172.5,10.80000019,5.800000191,7.599999905,177.0,0.375,0.022,0.001,1395,1395,715/2007*692/2008EURO5,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1742.0,M,6,E
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 1750 Tbi (235ch) Quadrifoglio Verde,ES,non,14,172.5,10.80000019,5.800000191,7.599999905,177.0,0.375,0.022,0.001,1395,1395,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1742.0,M,6,E
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 2.0 JTDm (140ch) S/S,GO,non,7,103.0,5.599999905,3.900000095,4.5,119.0,0.388999999,0.160999998,0.001,1395,1395,715/2007*692/2008EURO5,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1956.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 2.0 JTDm (140ch) S/S,GO,non,7,103.0,5.599999905,3.900000095,4.5,119.0,0.388999999,0.160999998,0.001,1395,1395,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1956.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 2.0 JTDm (150ch) S/S,GO,non,7,110.0,5.0,3.700000048,4.199999809,110.0,0.244000003,0.153999999,0.001,1395,1395,715/2007*195/2013EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1956.0,M,6,B
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 2.0 JTDm (170ch) S/S,GO,non,9,125.0,5.800000191,4.099999905,4.699999809,124.0,0.151999995,0.158000007,0.002,1395,1395,715/2007*692/2008EURO5,BERLINE,MOY-INFER,,M1,2634.0,1554.0,1554.0,1956.0,M,6,C
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 2.0 JTDm (170ch) S/S,GO,non,9,125.0,5.800000191,4.099999905,4.699999809,124.0,0.151999995,0.158000007,0.002,1395,1395,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1956.0,M,6,C
ALFA-ROMEO,GIULIETTA,GIULIETTA,GIULIETTA 2.0 JTDm TCT (170ch) S/S,GO,non,9,125.0,5.300000191,4.0,4.5,119.0,0.181999996,0.159999996,0.001,1410,1410,715/2007*692/2008EURO5,BERLINE,MOY-INFER,FIAT GROUP AUTOMOBILES SPA,M1,2634.0,1554.0,1554.0,1956.0,D,6,B
ALFA-ROMEO,MITO,MITO,MITO 0.9 Twin Air (105ch) S/S,ES,non,5,77.0,5.0,3.799999952,4.199999809,99.0,0.316000015,0.034000002,,1205,1205,715/2007*630/2012EURO6,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,875.0,M,6,A
ALFA-ROMEO,MITO,MITO,MITO 0.9 Twin Air (85ch) S/S,ES,non,4,62.5,4.900000095,3.799999952,4.199999809,98.0,0.527999997,0.037,,1205,1205,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,875.0,M,6,A
ALFA-ROMEO,MITO,MITO,MITO 1.3 JTDm (85ch) S/S,GO,non,4,62.0,4.400000095,2.900000095,3.5,90.0,0.393000007,0.166999996,0.001,1225,1225,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1248.0,M,5,A
ALFA-ROMEO,MITO,MITO,MITO 1.3 JTDm (85ch) S/S,GO,non,4,62.0,4.400000095,2.900000095,3.5,90.0,0.393000007,0.166999996,0.001,1225,1225,715/2007*630/2012EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1248.0,M,5,A
ALFA-ROMEO,MITO,MITO,MITO 1.3 JTDm (85ch) S/S,GO,non,4,62.0,4.599999905,3.0,3.599999905,95.0,0.314999998,0.164000005,0.001,1225,1225,715/2007*630/2012EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1248.0,M,5,A
ALFA-ROMEO,MITO,MITO,MITO 1.3 JTDm (85ch) S/S,GO,non,4,62.0,4.599999905,3.0,3.599999905,95.0,0.314999998,0.164000005,0.001,1225,1225,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1248.0,M,5,A
ALFA-ROMEO,MITO,MITO,MITO 1.4 MPI (105ch) MultiAir,ES,non,6,77.0,7.599999905,4.800000191,5.800000191,136.0,0.192000002,0.039999999,,1185,1185,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1480.0,1472.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 MPI (105ch) MultiAir,ES,non,6,77.0,7.599999905,4.800000191,5.800000191,136.0,0.192000002,0.039999999,,1185,1185,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 MPI (105ch) MultiAir,ES,non,6,77.0,7.5,4.699999809,5.699999809,134.0,0.192000002,0.039999999,,1165,1165,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1480.0,1472.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 MPI (105ch) MultiAir,ES,non,6,77.0,7.5,4.699999809,5.699999809,134.0,0.192000002,0.039999999,,1165,1165,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 MPI (105ch) MultiAir,ES,non,6,77.0,7.5,4.699999809,5.699999809,134.0,0.192000002,0.039999999,,1165,1165,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1483.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 MPI (78ch) S/S,ES,non,5,57.0,7.300000191,4.599999905,5.599999905,130.0,0.337000012,0.037,,1155,1155,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1368.0,M,5,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB (135ch) MultiAir,ES,non,7,99.0,7.400000095,4.5,5.599999905,129.0,0.518999994,0.032000002,,1210,1210,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1483.0,1475.0,1368.0,M,5,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB (135ch) MultiAir,ES,non,7,99.0,7.400000095,4.5,5.599999905,129.0,0.518999994,0.032000002,,1210,1210,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1480.0,1472.0,1368.0,M,5,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB (170ch) MultiAir,ES,non,9,125.0,8.100000381,4.800000191,6.0,139.0,0.254000008,0.024,,1220,1220,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1483.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB (170ch) MultiAir,ES,non,9,125.0,8.100000381,4.800000191,6.0,139.0,0.254000008,0.024,,1220,1220,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1480.0,1472.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB (170ch) MultiAir,ES,non,9,125.0,8.100000381,4.800000191,6.0,139.0,0.254000008,0.024,,1220,1220,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB (170ch) MultiAir,ES,non,9,125.0,8.100000381,4.800000191,6.0,139.0,0.254000008,0.024,,1220,1220,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1483.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB MultiAir (135ch) Alfa TCT S/S,ES,non,7,99.0,7.099999905,4.5,5.5,126.0,0.254999995,0.024,,1245,1245,715/2007*692/2008EURO5,BERLINE,INFERIEURE,,M1,2511.0,1483.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.4 TB MultiAir (135ch) Alfa TCT S/S,ES,non,7,99.0,7.099999905,4.5,5.5,126.0,0.254999995,0.024,,1245,1245,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1368.0,M,6,C
ALFA-ROMEO,MITO,MITO,MITO 1.6 JTDm (120ch) S/S,GO,non,6,88.0,5.300000191,3.799999952,4.400000095,114.0,0.388999999,0.155000001,0.001,1280,1280,715/2007*692/2008EURO5,BERLINE,INFERIEURE,FIAT GROUP AUTOMOBILES SPA,M1,2511.0,1477.0,1475.0,1598.0,M,6,B
ALFA-ROMEO,SPIDER,SPIDER,SPIDER 1750 TBI (200ch),ES,non,12,147.0,11.89999962,6.099999905,8.199999809,192.0,0.601000011,0.039999999,0.003,1565,1565,715/2007*692/2008EURO5,CABRIOLET,SUPERIEURE,,M1,2528.0,1579.0,1559.0,1742.0,M,6,E
ALFA-ROMEO,SPIDER,SPIDER,SPIDER 1750 TBI (200ch),ES,non,12,147.0,11.89999962,6.099999905,8.199999809,192.0,0.601000011,0.039999999,0.003,1565,1565,715/2007*692/2008EURO5,CABRIOLET,SUPERIEURE,,M1,2528.0,1586.0,1567.0,1742.0,M,6,E
ALFA-ROMEO,SPIDER,SPIDER,SPIDER 2.0 JTDm (170ch),GO,non,9,125.0,7.099999905,4.400000095,5.400000095,142.0,0.188999996,0.155000001,0.002,1615,1615,715/2007*692/2008EURO5,CABRIOLET,SUPERIEURE,,M1,2528.0,1579.0,1559.0,1956.0,M,6,D
CITROEN,BERLINGO,BERLINGO,BERLINGO Hdi (115ch) BVM5,GO,non,6,84.0,5.699999809,4.800000191,5.099999905,134.0,0.211999997,0.143999994,0.001,1476,1476,715/2007*630/2012EURO5,COMBISPACE,INFERIEURE,,M1,2728.0,1507.0,1556.0,1560.0,M,5,C
CITROEN,BERLINGO,BERLINGO,BERLINGO Hdi (115ch) BVM5,GO,non,6,84.0,6.300000191,5.099999905,5.5,144.0,0.211999997,0.143999994,0.001,1589,1589,715/2007*630/2012EURO5,COMBISPACE,INFERIEURE,,M1,2728.0,1507.0,1556.0,1560.0,M,5,D
CITROEN,BERLINGO,BERLINGO,BERLINGO Hdi (90ch) BVM5,GO,non,5,68.0,6.199999809,4.800000191,5.300000191,139.0,0.270000011,0.166999996,0.001,1435,1435,715/2007*195/2013EURO5,COMBISPACE,INFERIEURE,,M1,2728.0,1507.0,1556.0,1560.0,M,5,C
